Player,Age,Team,Season,Minutes,PSxG +/- per 90,Crosses Stopped % per 90,Def Actions Outside Penalty Area per 90,Goals Against per 90,Rating
Francesca Durante,24,Internazionale,2021-22,1980,0.69,0.04,0.05,1.36,7.21
Pauline Peyraud-Magnin,29,Juventus,2021-22,1260,0.81,0.08,0.08,0.71,5.45
Roberta Aprile,20,Juventus,2021-22,720,0.83,0.08,0.1,0.5,3.12
Stephanie Öhrström,34,Lazio,2021-22,1620,0.5,0.02,0.05,2.61,4.26
Serena Natalucci,35,Lazio,2021-22,270,0.35,0.0,0.19,3.67,0.42
Laura Giuliani,28,Milan,2021-22,1800,0.65,0.11,0.36,0.9,6.93
Yolanda Aguirre,22,Napoli,2021-22,1350,0.86,0.18,0.34,1.53,6.68
Rachele Baldi,26,Napoli,2021-22,630,1.0,0.29,0.19,1.0,3.52
Amanda Tampieri,24,Sampdoria,2021-22,1350,0.71,0.07,0.13,1.47,5.13
Selena Babb,25,Sampdoria,2021-22,360,0.85,0.0,0.0,1.25,1.47
Diede Lemey,24,Sassuolo,2021-22,1980,0.74,0.05,0.11,1.09,7.87
Camelia Ceasar,22,AS Roma,2020-21,1170,0.75,0.04,0.32,1.0,6.72
Rachele Baldi,25,AS Roma,2020-21,774,0.65,0.19,0.3,1.28,4.06
Alessia Cappelletti,21,Empoli,2020-21,1440,0.46,0.03,0.58,1.69,5.8
Noemi Fedele,24,Empoli,2020-21,450,0.45,0.0,0.88,1.4,1.87
Katja Schroffenegger,29,Fiorentina,2020-21,1350,0.72,0.09,0.29,1.4,7.62
Stephanie Öhrström,33,Fiorentina,2020-21,540,0.37,0.1,0.55,1.33,1.82
Amanda Tampieri,23,Florentia,2020-21,1170,0.54,0.08,0.01,1.92,4.62
Seraina Friedli,27,Florentia,2020-21,720,0.6,0.27,0.2,1.5,3.51
Francesca Durante,23,Hellas Verona,2020-21,1980,0.67,0.05,0.12,1.5,9.96
Chiara Marchitelli,35,Internazionale,2020-21,863,0.51,0.03,0.51,1.67,3.68
Roberta Aprile,19,Internazionale,2020-21,757,0.27,0.08,0.25,2.38,1.72
Astrid Gilardi,17,Internazionale,2020-21,360,0.58,0.31,0.27,2.25,1.7
Laura Giuliani,27,Juventus,2020-21,1620,0.76,0.11,0.28,0.39,9.62
Doris Bačić,25,Juventus,2020-21,360,0.59,0.46,1.0,0.75,2.19
Mária Korenčiová,31,Milan,2020-21,1678,0.72,0.05,0.56,0.64,10.0
Catalina Pérez,25,Napoli,2020-21,900,1.0,0.36,0.1,1.4,7.01
Sabrina Tasselli,30,Napoli,2020-21,720,0.85,0.06,0.02,1.38,4.36
Émmeline Mainguy,32,Napoli,2020-21,360,0.0,0.18,0.02,2.75,0.0
Paula Myllyoja,36,Pink Bari,2020-21,1215,0.36,0.04,0.01,2.59,3.07
Rebecca Difronzo,17,Pink Bari,2020-21,765,0.31,0.07,0.36,3.18,2.03
Gloria Ciccioli,20,San Marino,2020-21,1710,0.48,0.03,0.19,2.63,6.27
Margherita Salvi,24,San Marino,2020-21,270,0.08,0.0,0.39,2.67,0.17
Diede Lemey,23,Sassuolo,2020-21,1890,0.62,0.09,0.3,0.9,9.3
Manuela Zinsberger,27,Arsenal,2023-24,1620,0.69,0.17,0.24,0.94,5.49
Sabrina D'Angelo,30,Arsenal,2023-24,360,0.69,0.76,0.19,0.75,1.32
Daphne van Domselaar,23,Aston Villa,2023-24,1260,0.41,0.13,0.09,2.21,2.45
Anna Leat,22,Aston Villa,2023-24,543,0.53,0.29,0.0,1.33,1.31
Sophie Baggaley,26,Brighton and Hove Albion,2023-24,1710,0.52,0.05,0.17,2.26,4.23
Shae Yanez,26,Bristol City,2023-24,630,0.16,0.21,0.0,2.71,0.43
Olivia Clark,21,Bristol City,2023-24,584,0.18,0.1,0.19,2.93,0.47
Francesca Bentley,22,Bristol City,2023-24,450,0.0,0.12,0.25,4.4,0.0
Kaylan Marckese,25,Bristol City,2023-24,314,0.19,0.75,0.0,2.87,0.37
Hannah Hampton,22,Chelsea,2023-24,900,0.84,0.28,0.3,0.7,3.74
Zećira Mušović,27,Chelsea,2023-24,630,1.0,0.28,0.36,0.43,3.07
Ann-Katrin Berger,32,Chelsea,2023-24,450,0.52,0.34,0.25,1.6,1.18
Courtney Brosnan,27,Everton,2023-24,1800,0.77,0.08,0.15,1.7,6.43
Janina Leitzig,24,Leicester City,2023-24,1260,0.7,0.14,0.27,2.0,4.27
Lize Kop,25,Leicester City,2023-24,720,0.72,0.13,0.31,2.12,2.48
